Séance – {{Date}} – {{Stagiaire}},Date de la séance,Heure début,Heure fin
Séance standard,13 mai 2026,9h,13h
Séance standard (1),14 mai 2026,9h,12h
Séance standard (2),15 mai 2026,9h,12h
Séance standard (3),18 mai 2026,9h,12h
Séance standard (4),20 mai 2026,9h,12h
Séance standard (5),21 mai 2026,9h,12h
Séance standard (6),25 mai 2026,9h,12h
Séance standard (7),27 mai 2026,9h,12h
Séance standard (8),29 mai 2026,9h,12h
Séance standard (9),2 juin 2026,9h,12h
Séance standard (10),4 juin 2026,9h,12h